store_id,name,deadline_days,deadline_time,keywords,always_open,fixed_note,memo
esc_bro,탈출 브라더스,,,"지하감옥,파라오의비밀,도둑들,원혼의 저주,달의제단,미드나잇콜링",1,,https://escapebro.co.kr/
crew_sc2,탐정크루 신촌2호점,14,0:00,"초코의왕,대저택의비밀,출근길,소년의마음,크라임씬-이상한부부이야기",,,http://crewescape.com/
ts_cag,테라스페이스 아트갤러리점,8,0:00,"한탕,오버클럭,이세계선술집,아트갤러리",,,https://teraspace.co.kr/
ts_hd,테라스페이스 홍대점,7,0:00,"노엑시트,NO EXIT,검은의사",,,https://www.master-key.co.kr/
tte_hd,티켓투이스케이프,7,0:00,"게임의법칙,겜법,해줘,놈즈,로랑옥스포드,오자네왔는가,SCENE BEHIND THE SIN,씬비하인드더씬,씬비씬,하씨심부름센터,갤럭시익스프레스,갤익,삼일보육원,삼보,히든시나리오,헬로프레이,HELLO PRAY,웨스턴뱅,웨뱅,낮과밤,라빈의보물상점,THE WAY OUT,더웨이아웃,364일",,,https://naver.me/5CFZW3oM
pm_bs,파노라마 부산점,12,0:00,미래재난리포트,,,https://naver.me/FutFZ0bm
pm_hs,파노라마 홍대삼거리점,6,0:00,"PUPPET PLAY,퍼펫플레이",,,https://naver.me/xYvoyDqy
pm_hd,파노라마 홍대입구점,,,"룰더데이,ruletheday",1,매주 토요일 22:00 2주뒤 토 ~ 금까지 예약 오픈,https://naver.me/5o0Qylbb
pm_lw,파노라마X롯데월드,14,0:00,파란,,,https://panorama-escape.com/
ft_str1,판타스트릭 1호점,6,0:00,"태초의신부:이브프로젝트,태이프,테이프",,,http://fantastrick.co.kr/
ft_str2,판타스트릭 2호점,6,0:00,사자의서:북오브두아트,,,http://fantastrick.co.kr/
ft_str3,판타스트릭 TGC,6,0:00,"LOCKDOWN CITY,락다운시티,시간의영속성",,,http://fantastrick.co.kr/
ft_sia,판타지아,,,"찬미특수진료센터,인스펙토,겟오겟오,GET O GET O,INSPECTO",1,매주 금요일 00:00 3주 뒤 수요일까지 예약 오픈,https://naver.me/GI3hw5ys
pnc_md,패닉이스케이프 목동점,,,"매직아카데미,ARROW,애로우,두얼굴의영주",1,,http://www.panicescape.com/
pn_gn,포인트나인 강남점,6,0:00,"시간이멈춘마을,시멈마,열쇠공의이중생활,눈먼귀금속상인의후회,주인없는낡은서점",,,https://point-nine.com/
pn_kd,포인트나인 건대점,6,0:00,"JACK IN THE SHOW,잭인더쇼,잭쇼,리턴,RETURN,알바,ALBA",,,https://point-nine.com/
pn_hd,포인트나인 홍대점,6,0:00,"사일런트,SILENT,LISTEN,리슨",,,https://point-nine.com/
frk_as,프랭크의 골동품가게,7,23:30,"MY PRIVATE HEAVEN,마이프라이빗헤븐,마프헤,마헤븐,BROOKLYN MY LOVE,브루클린마이러브,브마럽,PLAN TO SAVE MY DEAR,플랜투세이브마이디어",,,https://thefrank.co.kr/
